Learning Rate,N_Trees,AUC,Tempo (s)
0.01,111,0.9865841073271414,0.18815326690673828
0.03,59,0.9876160990712074,0.12083959579467773
0.05,15,0.9881320949432405,0.07337260246276855
0.07,137,0.9896800825593395,0.16672086715698242
0.1,15,0.9876160990712074,0.0737161636352539
