model,acc,f1,auc
LogisticRegression,0.9649122807017544,0.9722222222222222,0.9953703703703703
RandomForest,0.9473684210526315,0.9583333333333334,0.9927248677248677
XGBoost,0.9473684210526315,0.9583333333333334,0.9910714285714286
LightGBM,0.9035087719298246,0.9290322580645162,0.9869378306878307
CatBoost,0.956140350877193,0.9659863945578231,0.9887566137566137
